id,type,owner,architecture
allenai/OLMo-2-1124-7B-DPO,finetuned,allenai,olmo2
GSAI-ML/LLaDA-8B-Instruct,base,GSAI-ML,unknown
TheBloke/Mythalion-13B-GPTQ,quantized,TheBloke,llama
rinna/youri-7b,finetuned,rinna,llama
nvidia/OpenCodeReasoning-Nemotron-32B-IOI,finetuned,nvidia,qwen2
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,finetuned,Magpie-Align,llama
lemon-mint/gemma-ko-7b-instruct-v0.52,finetuned,lemon-mint,gemma
mlx-community/Devstral-Small-2505-8bit,quantized,mlx-community,mistral
utter-project/EuroLLM-9B,base,utter-project,llama
meta-llama/Meta-Llama-3-8B-Instruct,base,meta-llama,llama
defog/sqlcoder,base,defog,gpt_bigcode
prithivMLmods/Research-Reasoning-Qwen-F32-GGUF,quantized,prithivMLmods,qwen2
legraphista/Qwen2.5-Math-1.5B-Instruct-IMat-GGUF,quantized,legraphista,unknown
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,base,HuggingFaceH4,unknown
huihui-ai/Llama-3.2-1B-Instruct-abliterated,base,huihui-ai,unknown
xingyaoww/Qwen2.5-Coder-32B-Instruct-AWQ-128k,quantized,xingyaoww,qwen2
legraphista/Qwen2-7B-IMat-GGUF,quantized,legraphista,unknown
Dorian2B/Vera-v1.5-Instruct-2B-GGUF,quantized,Dorian2B,unknown
RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,quantized,RedHatAI,llama
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,quantized,Qwen,qwen2
soob3123/GrayLine-Gemma3-12B,finetuned,soob3123,gemma3_text
TheBloke/dolphin-2.2.1-mistral-7B-AWQ,quantized,TheBloke,mistral
unsloth/QwQ-32B-GGUF,quantized,unsloth,qwen2
gaianet/Qwen2.5-Coder-7B-Instruct-GGUF,quantized,gaianet,qwen2
prithivMLmods/Deepthink-Reasoning-14B,finetuned,prithivMLmods,qwen2
Trendyol/Trendyol-LLM-7b-base-v1.0,finetuned,Trendyol,mistral
TheBloke/CausalLM-14B-GGUF,quantized,TheBloke,llama
01-ai/Yi-1.5-34B-32K,base,01-ai,unknown
TejAndrewsACC/FiPhi-NeuralMark-V3,finetuned,TejAndrewsACC,bert
unsloth/DeepSeek-R1-GGUF-UD,quantized,unsloth,deepseek_v3
Qwen/Qwen2.5-Coder-3B-Instruct,finetuned,Qwen,qwen2
bartowski/nvidia_AceInstruct-72B-GGUF,quantized,bartowski,unknown
Mungert/OpenCodeReasoning-Nemotron-32B-IOI-GGUF,quantized,Mungert,unknown
aaditya/Llama3-OpenBioLLM-8B,finetuned,aaditya,llama
curiositytech/MARS-v0.2,finetuned,curiositytech,llama
unsloth/DeepSeek-R1-0528-BF16,quantized,unsloth,deepseek_v3
allenai/OLMo-2-1124-13B-Instruct,finetuned,allenai,olmo2
Dorian2B/Vera-v1.5-Instruct-2B,base,Dorian2B,unknown
Mungert/OpenCodeReasoning-Nemotron-32B-GGUF,quantized,Mungert,unknown
lmms-lab/LLaVA-Video-7B-Qwen2-Video-Only,finetuned,lmms-lab,llava
bartowski/ArliAI_QwQ-32B-ArliAI-RpR-v4-GGUF,quantized,bartowski,unknown
Sao10K/L3-8B-Stheno-v3.1,base,Sao10K,unknown
bartowski/BigQwen2.5-52B-Instruct-GGUF,quantized,bartowski,unknown
QuantFactory/Dorna-Llama3-8B-Instruct-GGUF,quantized,QuantFactory,unknown
bartowski/granite-embedding-278m-multilingual-GGUF,quantized,bartowski,unknown
sandbox-ai/Llama-3.1-Tango-70b-bnb_4b,quantized,sandbox-ai,llama
tensoropera/Fox-1-1.6B,base,tensoropera,llama
second-state/Phi-4-reasoning-plus-GGUF,quantized,second-state,phi3
alamios/Mistral-Small-3.1-DRAFT-0.5B,finetuned,alamios,qwen2
bartowski/FastLlama-3.2-1B-Instruct-GGUF,adapter,bartowski,unknown
TheBloke/Llama2-70B-OASST-SFT-v10-GGUF,quantized,TheBloke,llama
DavidAU/Fallen-Gemma-3-Nine-Rings-of-Power-4b-it-GGUF,quantized,DavidAU,unknown
tiiuae/Falcon3-1B-Base,base,tiiuae,llama
YOYO-AI/Qwen2.5-32B-YOYO-V2,merged,YOYO-AI,qwen2
DavidAU/MN-GRAND-Gutenberg-Lyra4-Lyra-23.5B,base,DavidAU,unknown
Qwen/Qwen2.5-Coder-1.5B-Instruct-GPTQ-Int8,quantized,Qwen,qwen2
second-state/Qwen2.5-0.5B-Instruct-GGUF,quantized,second-state,qwen2
lambdaindie/lambda-1v-1B,finetuned,lambdaindie,llama
Nickyang/FastCuRL-1.5B-Preview,finetuned,Nickyang,qwen2
prithivMLmods/Llama-Song-Stream-3B-Instruct,base,prithivMLmods,unknown
NousResearch/DeepHermes-3-Mistral-24B-Preview,finetuned,NousResearch,mistral
bartowski/Tower-Babel_Babel-9B-Chat-GGUF,quantized,bartowski,unknown
trend-cybertron/Llama-Primus-Nemotron-70B-Instruct,finetuned,trend-cybertron,llama
TheBloke/Pygmalion-2-13B-GPTQ,quantized,TheBloke,llama
PocketDoc/Dans-SakuraKaze-V1.0.0-12b,base,PocketDoc,unknown
TheBloke/Llama-2-13B-GPTQ,quantized,TheBloke,llama
MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF,quantized,MaziyarPanahi,unknown
lmms-lab/llava-onevision-qwen2-7b-si,base,lmms-lab,llava
MaziyarPanahi/calme-3.1-qwenloi-3b,finetuned,MaziyarPanahi,qwen2
allura-org/GLM4-9B-Neon-v2,finetuned,allura-org,glm4
bartowski/TIGER-Lab_Qwen2.5-32B-Instruct-CFT-GGUF,quantized,bartowski,unknown
AdaptLLM/law-chat,base,AdaptLLM,llama
ClosedCharacter/Peach-9B-8k-Roleplay,base,ClosedCharacter,unknown
TheBloke/medicine-LLM-13B-GGUF,quantized,TheBloke,llama
MaziyarPanahi/calme-3.1-llamaloi-3b,finetuned,MaziyarPanahi,llama
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,quantized,hugging-quants,unknown
rinna/nekomata-7b-instruction,finetuned,rinna,qwen
suayptalha/Luminis-phi-4,merged,suayptalha,llama
kosbu/Athene-V2-Chat-AWQ,quantized,kosbu,qwen2
VAGOsolutions/SauerkrautLM-7b-v1,base,VAGOsolutions,unknown
DavidAU/M-Metaphors-Of-Madness-19.4B,base,DavidAU,unknown
Vikhrmodels/QVikhr-2.5-1.5B-Instruct-r,finetuned,Vikhrmodels,qwen2
shariar076/Llama-3.1-8B-Instruct-DPO-0R100L-PoliTune,finetuned,shariar076,llama
prithivMLmods/Blitzar-Coder-4B-F.1,base,prithivMLmods,unknown
MaziyarPanahi/calme-3.2-instruct-78b,base,MaziyarPanahi,qwen2
mradermacher/Sam-reason-S2.1-GGUF,quantized,mradermacher,unknown
TheBloke/Llama-2-13B-chat-GGUF,quantized,TheBloke,llama
HagalazAI/CyberDolphin-2.9.3-mistral-nemo-12b-GGUF,quantized,HagalazAI,unknown
prithivMLmods/OpenRHO-2B-Thinker-GGUF,quantized,prithivMLmods,qwen2
bartowski/Hathor_Tahsin-L3-8B-v0.85-GGUF,quantized,bartowski,unknown
unsloth/Qwen3-1.7B-GGUF,quantized,unsloth,qwen3
mradermacher/ai-msgbot-gpt2-XL-dialogue-i1-GGUF,quantized,mradermacher,unknown
gaianet/Phi-4-reasoning-GGUF,quantized,gaianet,phi3
bartowski/Qwen2.5-14B-Instruct-1M-GGUF,quantized,bartowski,unknown
MaziyarPanahi/calme-2.2-llama3-70b,finetuned,MaziyarPanahi,llama
mradermacher/deepseek-paraphrase-GGUF,adapter,mradermacher,unknown
Qwen/Qwen2.5-0.5B-Instruct-GGUF,quantized,Qwen,unknown
MaziyarPanahi/phi-2-GGUF,quantized,MaziyarPanahi,mistral
unsloth/gemma-2-2b-it,base,unsloth,gemma2
RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,quantized,RedHatAI,llama
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,finetuned,PracticeLLM,llama
legraphista/Qwen2.5-7B-Instruct-IMat-GGUF,quantized,legraphista,unknown
diabolic6045/open-llama-3.2-1B-Instruct,base,diabolic6045,unknown
eaddario/Watt-Tool-8B-GGUF,quantized,eaddario,unknown
bartowski/magnum-v4-9b-GGUF,quantized,bartowski,unknown
unsloth/Mistral-Nemo-Instruct-2407,base,unsloth,mistral
Qwen/Qwen2-1.5B,base,Qwen,qwen2
winninghealth/WiNGPT2-Llama-3-8B-Base,base,winninghealth,llama
tensorblock/mistral-7b-uncensored-GGUF,quantized,tensorblock,unknown
Azzedde/llama3.1-8b-text2cypher,finetuned,Azzedde,llama
tsilva/clinical-field-mapper-causal_lm,base,tsilva,unknown
DavidAU/Gemma-The-Writer-J.GutenBerg-10B-GGUF,quantized,DavidAU,unknown
bartowski/Pantheon-RP-1.6.1-12b-Nemo-GGUF,quantized,bartowski,unknown
DavidAU/Llama3.1-MOE-4X8B-Gated-IQ-Multi-Tier-Deep-Reasoning-32B-GGUF,quantized,DavidAU,unknown
bartowski/Qwen2.5-Coder-14B-Instruct-GGUF,quantized,bartowski,unknown
NousResearch/Meta-Llama-3-8B-Instruct,base,NousResearch,llama
tiiuae/Falcon3-7B-Base,base,tiiuae,llama
haqishen/Llama-3-8B-Japanese-Instruct,base,haqishen,unknown
Sao10K/MN-12B-Lyra-v4,base,Sao10K,unknown
mistralai/Ministral-8B-Instruct-2410,base,mistralai,unknown
DoeyLLM/OneLLM-Doey-ChatQA-V1-Llama-3.2-1B-Q8_0-GGUF,quantized,DoeyLLM,unknown
gorilla-llm/gorilla-openfunctions-v2,base,gorilla-llm,unknown
MaziyarPanahi/Meta-Llama-3-8B-Instruct-GPTQ,quantized,MaziyarPanahi,llama
unsloth/QwQ-32B-unsloth-bnb-4bit,quantized,unsloth,qwen2
LLM360/K2,base,LLM360,llama
second-state/phi-4-GGUF,quantized,second-state,phi3
tiiuae/Falcon3-3B-Instruct,finetuned,tiiuae,llama
bartowski/Beepo-22B-GGUF,quantized,bartowski,unknown
NikolayKozloff/Qwen2-7B-Q4_K_M-GGUF,quantized,NikolayKozloff,unknown
RWKV-Red-Team/ARWKV-7B-Preview-0.1,finetuned,RWKV-Red-Team,rwkv_hybrid
numind/NuExtract,finetuned,numind,phi3
prithivMLmods/FastThink-0.5B-Tiny,quantized,prithivMLmods,qwen2
ibm-granite/granite-3.1-2b-instruct,base,ibm-granite,unknown
TheBloke/Llama-2-13B-GGUF,quantized,TheBloke,llama
nvidia/OpenMath-Nemotron-14B-Kaggle,finetuned,nvidia,qwen2
anthracite-org/magnum-v3-34b-gguf,quantized,anthracite-org,unknown
01-ai/Yi-1.5-9B-Chat-16K,base,01-ai,unknown
Qwen/Qwen2.5-7B,base,Qwen,qwen2
unsloth/Qwen2.5-Math-1.5B-Instruct,finetuned,unsloth,qwen2
instruction-pretrain/finance-Llama3-8B,base,instruction-pretrain,llama
OpenLLM-France/Lucie-7B,base,OpenLLM-France,llama
Qwen/Qwen2-Math-7B-Instruct,base,Qwen,qwen2
nqdhocai/LogicQwen-2.5-7B,finetuned,nqdhocai,qwen2
MaziyarPanahi/calme-3.1-baguette-3b,finetuned,MaziyarPanahi,qwen2
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,finetuned,PathFinderKR,llama
Qwen/Qwen2-Math-72B-Instruct,base,Qwen,qwen2
sail/Sailor-1.8B,finetuned,sail,qwen2
PawanKrd/Meta-Llama-3-70B-Instruct-GGUF,quantized,PawanKrd,llama
TheBloke/speechless-codellama-34b-v2.0-GGUF,quantized,TheBloke,llama
MaziyarPanahi/Saul-Instruct-v1-GGUF,quantized,MaziyarPanahi,mistral
mradermacher/ScriptForge-small-i1-GGUF,quantized,mradermacher,unknown
nlpai-lab/KULLM3,finetuned,nlpai-lab,llama
SnakyMcSnekFace/Psyfighter2-13B-vore,base,SnakyMcSnekFace,unknown
allenai/tulu-2-13b,finetuned,allenai,llama
unsloth/DeepSeek-R1-Distill-Qwen-7B,finetuned,unsloth,qwen2
aisingapore/Gemma-SEA-LION-v3-9B-IT,finetuned,aisingapore,gemma2
stabilityai/stablelm-2-1_6b,base,stabilityai,stablelm
lmstudio-community/Phi-4-reasoning-plus-GGUF,quantized,lmstudio-community,unknown
meta-llama/Llama-3.2-1B-Instruct-SpinQuant_INT4_EO8,finetuned,meta-llama,llama
DavidAU/Llama-3.2-4X3B-MOE-Hell-California-Uncensored-10B-GGUF,quantized,DavidAU,unknown
second-state/Qwen2.5-32B-Instruct-GGUF,quantized,second-state,qwen2
unsloth/Qwen3-8B-GGUF,quantized,unsloth,qwen3
mistral-community/Mixtral-8x22B-v0.1,base,mistral-community,mixtral
lmstudio-community/SmolLM2-360M-Instruct-GGUF,quantized,lmstudio-community,unknown
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,quantized,unsloth,llama
karakuri-ai/karakuri-lm-8x7b-instruct-v0.1,finetuned,karakuri-ai,mixtral
Saxo/Linkbricks-Horizon-AI-Korean-Advanced-8B,quantized,Saxo,llama
QuantFactory/Llama-3-8B-LexiFun-Uncensored-V1-GGUF,quantized,QuantFactory,unknown
bartowski/nvidia_OpenCodeReasoning-Nemotron-32B-IOI-GGUF,quantized,bartowski,unknown
NousResearch/Meta-Llama-3.1-8B-Instruct,base,NousResearch,llama
teknium/OpenHermes-2-Mistral-7B,finetuned,teknium,mistral
unsloth/llama-3-8b-bnb-4bit,quantized,unsloth,llama
context-labs/neuralmagic-llama-3.1-70b-instruct-FP8,quantized,context-labs,llama
huihui-ai/Qwen2.5-Coder-14B-Instruct-abliterated,base,huihui-ai,unknown
bartowski/Rombos-Coder-V2.5-Qwen-14b-GGUF,quantized,bartowski,unknown
legraphista/internlm2-math-plus-1_8b-IMat-GGUF,quantized,legraphista,unknown
Qwen/Qwen2.5-Coder-1.5B-Instruct-GGUF,quantized,Qwen,unknown
TheBloke/fiction.live-Kimiko-V2-70B-GGUF,quantized,TheBloke,llama
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,base,deepseek-ai,unknown
AI-Sweden-Models/gpt-sw3-356m,base,AI-Sweden-Models,gpt2
PJMixers-Dev/Granite-3.1-Earthen-v0.3-3B-A800M,base,PJMixers-Dev,unknown
aisingapore/Llama-SEA-LION-v3-70B-IT-GGUF,quantized,aisingapore,unknown
tiiuae/Falcon3-1B-Instruct-GGUF,quantized,tiiuae,unknown
themex1380/Gemma-2-9B-Chinese-Chat-Uncensored,quantized,themex1380,gemma2
legraphista/Llama-3.2-1B-Instruct-IMat-GGUF,quantized,legraphista,unknown
tensorblock/Llama-3-13B-Instruct-v0.1-GGUF,quantized,tensorblock,unknown
akjindal53244/Llama-3.1-Storm-8B-GGUF,quantized,akjindal53244,llama
prithivMLmods/Llama-3.1-8B-Open-SFT,base,prithivMLmods,unknown
Qwen/Qwen1.5-1.8B-Chat,base,Qwen,qwen2
karakuri-ai/karakuri-lm-8x7b-chat-v0.1,finetuned,karakuri-ai,mixtral
Hastagaras/Anjir-8B-L3,base,Hastagaras,unknown
QuantFactory/Qwen2.5-1.5B-Instruct-GGUF,quantized,QuantFactory,unknown
suayptalha/FastLlama-3.2-1B-Instruct,base,suayptalha,unknown
bartowski/NousResearch_DeepHermes-3-Mistral-24B-Preview-GGUF,quantized,bartowski,unknown
unsloth/Qwen2.5-0.5B-Instruct-unsloth-bnb-4bit,quantized,unsloth,qwen2
NousResearch/DeepHermes-3-Llama-3-3B-Preview,base,NousResearch,llama
malhajar/Mistral-7B-Instruct-v0.2-turkish,base,malhajar,mistral
INSAIT-Institute/MamayLM-Gemma-2-9B-IT-v0.1,finetuned,INSAIT-Institute,gemma2
Voicelab/trurl-2-7b,base,Voicelab,llama
unsloth/Llama-3.1-Storm-8B,finetuned,unsloth,llama
nqdhocai/LogicLlama-3.2-3B-v1,finetuned,nqdhocai,llama
uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,base,uukuguy,unknown
unsloth/Qwen2.5-Coder-0.5B-bnb-4bit,quantized,unsloth,qwen2
unsloth/Qwen2.5-Coder-32B-Instruct,finetuned,unsloth,qwen2
lakkeo/stable-cypher-instruct-3b,finetuned,lakkeo,stablelm
brittlewis12/gemma-3-27b-it-GGUF,quantized,brittlewis12,unknown
trollek/ImagePromptHelper-danube3-500M,finetuned,trollek,llama
summerstars/SolaraV2-coder-0511,finetuned,summerstars,llama
dnotitia/Smoothie-Qwen2.5-14B-Instruct,finetuned,dnotitia,qwen2
sethuiyer/Medichat-Llama3-8B,merged,sethuiyer,llama
ReDiX/Qwen2.5-0.5B-Instruct-ITA,finetuned,ReDiX,qwen2
mlx-community/Phi-4-reasoning-plus-4bit,quantized,mlx-community,phi3
EasierAI/Falcon-3-1B,quantized,EasierAI,unknown
prithivMLmods/Triangulum-10B-GGUF,quantized,prithivMLmods,llama
argilla/notus-7b-v1,base,argilla,unknown
bartowski/agentica-org_DeepCoder-14B-Preview-GGUF,quantized,bartowski,unknown
XGenerationLab/XiYanSQL-QwenCoder-3B-2504,finetuned,XGenerationLab,qwen2
unsloth/Qwen2.5-Coder-1.5B-Instruct-bnb-4bit,quantized,unsloth,qwen2
sail/Sailor2-14B,finetuned,sail,qwen2
mlx-community/Hermes-3-Llama-3.2-3B-bf16,finetuned,mlx-community,llama
bartowski/Llama-3.1-SuperNova-Lite-GGUF,quantized,bartowski,unknown
tiiuae/Falcon3-10B-Instruct-GGUF,quantized,tiiuae,unknown
unsloth/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit,quantized,unsloth,llama
ibm-granite/granite-embedding-278m-multilingual,base,ibm-granite,unknown
pfnet/plamo-2-8b,base,pfnet,unknown
matrixportal/Aya-Z,finetuned,matrixportal,cohere
bartowski/nvidia_OpenCodeReasoning-Nemotron-14B-GGUF,quantized,bartowski,unknown
inceptionai/jais-family-30b-16k,base,inceptionai,unknown
mlx-community/Qwen2.5-Coder-32B-Instruct-4bit,quantized,mlx-community,qwen2
tensorblock/Meta-Llama-3.1-8B-Instruct-GGUF,quantized,tensorblock,unknown
ddobokki/Llama-2-70b-orca-200k,base,ddobokki,llama
bartowski/HuatuoGPT-o1-70B-GGUF,quantized,bartowski,unknown
chihoonlee10/T3Q-ko-solar-dpo-v3.0,base,chihoonlee10,unknown
meta-llama/Llama-2-7b,base,meta-llama,unknown
mlx-community/QwQ-32B-4bit,quantized,mlx-community,qwen2
HelpingAI/HELVETE,quantized,HelpingAI,llama
lmstudio-community/Phi-3.1-mini-4k-instruct-GGUF,quantized,lmstudio-community,unknown
bartowski/MN-12B-Lyra-v1-GGUF,quantized,bartowski,unknown
DavidAU/DeepSeek-R1-Distill-Llama-3.1-16.5B-Brainstorm,base,DavidAU,unknown
mistralai/Mistral-7B-v0.1,base,mistralai,mistral
michelkao/Ollama-3.2-GGUF,quantized,michelkao,llama
Triangle104/L3.1-Dark-Reasoning-Jamet-8B-MK.I-Hermes-R1-Uncensored-8B-Q6_K-GGUF,quantized,Triangle104,unknown
bartowski/Hermes-2-Theta-Llama-3-8B-GGUF,quantized,bartowski,unknown
google/gemma-3-12b-it,base,google,unknown
Saxo/Linkbricks-Horizon-AI-Korean-Gemma-2-sft-dpo-27B,quantized,Saxo,gemma2
unsloth/DeepSeek-Prover-V2-671B-GGUF,quantized,unsloth,deepseek_v3
THUDM/GLM-4-32B-0414,base,THUDM,glm4
unsloth/SmolLM2-135M-bnb-4bit,quantized,unsloth,llama
cstr/Spaetzle-v60-7b,finetuned,cstr,mistral
JIAN-PENG/LLM_Beyond_Base_Model_qwen2.5_3b_v2,finetuned,JIAN-PENG,qwen2
mlx-community/GLM-Z1-32B-0414-4bit,quantized,mlx-community,glm4
google/gemma-3-4b-it,base,google,unknown
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,quantized,Qwen,qwen2
lmstudio-community/Llama-3.1-Nemotron-Nano-4B-v1.1-GGUF,quantized,lmstudio-community,unknown
KingNish/Reasoning-0.5b,base,KingNish,unknown
DavidAU/L3.2-Rogue-Creative-Instruct-7B,base,DavidAU,unknown
drwlf/medgemma-4b-it-abliterated,adapter,drwlf,gemma3_text
phamhai/Llama-3.2-1B-Instruct-Frog,finetuned,phamhai,llama
lefantom00/Ministral-8B-it-2410-iSMART,quantized,lefantom00,mistral
bartowski/c4ai-command-r7b-12-2024-GGUF,quantized,bartowski,unknown
Qwen/Qwen2-7B,base,Qwen,qwen2
DavidAU/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B,base,DavidAU,unknown
SanctumAI/Meta-Llama-3.1-8B-Instruct-GGUF,quantized,SanctumAI,llama
TheBloke/Guanaco-13B-Uncensored-GGUF,quantized,TheBloke,llama
unsloth/Llama-3.2-3B-Instruct,finetuned,unsloth,llama
mlx-community/Devstral-Small-2505-3bit,quantized,mlx-community,mistral
LTS-VVE/Teuta,quantized,LTS-VVE,llama
mistralai/Mixtral-8x22B-Instruct-v0.1,finetuned,mistralai,mixtral
umar141/Gemma_1B_Baro_v2_vllm,finetuned,umar141,gemma3_text
nazimali/mistral-7b-v0.3-instruct-arabic,quantized,nazimali,mistral
prithivMLmods/QwQ-LCoT-7B-Instruct,base,prithivMLmods,unknown
bartowski/EXAONE-3.5-2.4B-Instruct-GGUF,quantized,bartowski,unknown
mlx-community/GLM-4-32B-0414-4bit,quantized,mlx-community,glm4
ghost-x/ghost-8b-beta-1608,finetuned,ghost-x,llama
rinna/nekomata-14b-instruction,finetuned,rinna,qwen
bartowski/agentica-org_DeepScaleR-1.5B-Preview-GGUF,quantized,bartowski,unknown
Akhil-Theerthala/Kuvera-8B-v0.1.0,base,Akhil-Theerthala,unknown
Vikhrmodels/Vikhr-Qwen-2.5-0.5b-Instruct,finetuned,Vikhrmodels,qwen2
TheBloke/Llama-2-7B-GPTQ,quantized,TheBloke,llama
unsloth/Qwen3-8B-128K-GGUF,quantized,unsloth,qwen3
bartowski/Qwen2.5-1.5B-Instruct-GGUF,quantized,bartowski,unknown
bartowski/nvidia_OpenMath-Nemotron-14B-GGUF,quantized,bartowski,unknown
bartowski/nvidia_Llama-3.1-8B-UltraLong-1M-Instruct-GGUF,quantized,bartowski,unknown
fblgit/miniclaus-qw1.5B-UNAMGS,base,fblgit,unknown
sail/Sailor2-20B,base,sail,unknown
Gryphe/Pantheon-RP-1.6.2-22b-Small,base,Gryphe,unknown
karakuri-ai/karakuri-lm-70b-v0.1,finetuned,karakuri-ai,llama
unsloth/Qwen3-32B-128K-GGUF,quantized,unsloth,qwen3
bartowski/Llama-Doctor-3.2-3B-Instruct-GGUF,quantized,bartowski,unknown
Azure99/blossom-v5.1-34b,base,Azure99,llama
SRDdev/ScriptForge-small,base,SRDdev,unknown
Qwen/Qwen2.5-14B-Instruct-AWQ,quantized,Qwen,qwen2
parasail-ai/Qwen2.5-Coder-32B-Instruct-GPTQ-Int8-128k,quantized,parasail-ai,qwen2
dfurman/Llama-3-8B-Orpo-v0.1,finetuned,dfurman,llama
XGenerationLab/XiYanSQL-QwenCoder-3B-2502,base,XGenerationLab,unknown
brittlewis12/Llama-3.1-Tulu-3.1-8B-GGUF,quantized,brittlewis12,unknown
mlx-community/Qwen2.5-3B-Instruct-4bit,finetuned,mlx-community,qwen2
prithivMLmods/Qwen3-4B-ft-bf16,base,prithivMLmods,unknown
DavidAU/L3.1-Evil-Reasoning-Dark-Planet-Hermes-R1-Uncensored-8B-GGUF,quantized,DavidAU,unknown
bartowski/Dans-PersonalityEngine-v1.0.0-8b-GGUF,quantized,bartowski,unknown
lmstudio-community/Qwen2-Math-1.5B-Instruct-GGUF,quantized,lmstudio-community,unknown
TheBloke/TinyLlama-1.1B-Chat-v1.0-AWQ,quantized,TheBloke,llama
DavidAU/L3-MOE-8X8B-Dark-Planet-8D-Mirrored-Chaos-47B-GGUF,quantized,DavidAU,unknown
DavidAU/L3-DARKEST-PLANET-16.5B,base,DavidAU,unknown
huihui-ai/Qwen3-14B-abliterated,base,huihui-ai,unknown
Mungert/PLM-1.8B-Instruct-GGUF,quantized,Mungert,unknown
npv2k1/Qwen2.5-7B-n8n,quantized,npv2k1,qwen2
TheBloke/notux-8x7b-v1-GGUF,quantized,TheBloke,mixtral
huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2,base,huihui-ai,unknown
lemon07r/Gemma-2-Ataraxy-v4d-9B,merged,lemon07r,gemma2
mymaia/Magiq-Translator-0,base,mymaia,unknown
NaniDAO/Llama-3.3-70B-Instruct-ablated,finetuned,NaniDAO,llama
bartowski/ReadyArt_Forgotten-Safeword-24B-3.6-GGUF,finetuned,bartowski,unknown
instruction-pretrain/instruction-synthesizer,base,instruction-pretrain,unknown
DeepMount00/Llama-3-8b-Ita,finetuned,DeepMount00,llama
second-state/DeepHermes-3-Llama-3-8B-Preview-GGUF,quantized,second-state,llama
prithivMLmods/Qwen3-4B-GGUF,quantized,prithivMLmods,qwen3
unsloth/QwQ-32B-Preview-bnb-4bit,quantized,unsloth,qwen2
TheBloke/Swallow-13B-Instruct-GGUF,quantized,TheBloke,llama
qwp4w3hyb/Llama-3-8B-Instruct-Gradient-1048k-iMat-GGUF,quantized,qwp4w3hyb,llama
bartowski/Llama-3-8B-Instruct-Coder-GGUF,quantized,bartowski,unknown
phanerozoic/Tiny-Pirate-1.1b-v0.1,base,phanerozoic,unknown
legraphista/Qwen2.5-Coder-1.5B-Instruct-IMat-GGUF,quantized,legraphista,unknown
2p8xx/Foundation-Sec-8B-Instruct,finetuned,2p8xx,llama
bartowski/Lamarck-14B-v0.7-GGUF,quantized,bartowski,unknown
TheBloke/Mixtral-8x7B-Instruct-v0.1-AWQ,quantized,TheBloke,mixtral
TheBloke/Mistral-7B-OpenOrca-AWQ,quantized,TheBloke,mistral
trashpanda-org/Llama-3.3-70B-Aster-v0-stage3,base,trashpanda-org,unknown
qingy2024/UwU-14B-Math-v0.2,base,qingy2024,unknown
Qwen/Qwen2.5-14B-Instruct-GPTQ-Int4,quantized,Qwen,qwen2
HuggingFaceTB/SmolLM-360M-Instruct,quantized,HuggingFaceTB,llama
yukiarimo/yuna-ai-v4-full,base,yukiarimo,unknown
unsloth/Qwen2.5-Coder-1.5B-Instruct,finetuned,unsloth,qwen2
unsloth/tinyllama-chat-bnb-4bit,base,unsloth,llama
alpindale/goliath-120b,base,alpindale,llama
mistralai/Mistral-Large-Instruct-2407,base,mistralai,unknown
second-state/Dolphin-2.7-mixtral-8x7b-GGUF,quantized,second-state,mixtral
eliceai/helpy-edu-b-llama3.1,finetuned,eliceai,llama
bartowski/c4ai-command-r-08-2024-GGUF,quantized,bartowski,unknown
lenML/aya-expanse-8b-abliterated,finetuned,lenML,cohere
PocketDoc/Dans-PersonalityEngine-V1.1.0-12b,finetuned,PocketDoc,mistral
CohereLabs/aya-23-8B,base,CohereLabs,cohere
abhinand/malayalam-llama-pt-v0,base,abhinand,unknown
DavidAU/L3-Dark-Planet-8B-V2-Eight-Orbs-Of-Power,base,DavidAU,unknown
lmstudio-community/dolphin-2.8-mistral-7b-v02-GGUF,quantized,lmstudio-community,unknown
bartowski/Hermes-2-Pro-Mistral-7B-GGUF,quantized,bartowski,unknown
SanjiWatsuki/Kunoichi-DPO-v2-7B,base,SanjiWatsuki,unknown
KingNish/Reasoning-Llama-1b-v0.1,base,KingNish,unknown
Qwen/Qwen3-0.6B,base,Qwen,unknown
Mungert/Dans-PersonalityEngine-V1.3.0-24b-GGUF,quantized,Mungert,unknown
lmstudio-community/Phi-4-reasoning-plus-MLX-4bit,quantized,lmstudio-community,phi3
Sao10K/L3.3-70B-Euryale-v2.3,base,Sao10K,unknown
