source,target,edge
meta-llama/Meta-Llama-3-8B-Instruct,mav23/Llama-3-8B-Instruct-Finance-RAG-GGUF,quantized
meta-llama/Meta-Llama-3-8B-Instruct,second-state/Llama-3-8B-Instruct-GGUF,quantized
meta-llama/Meta-Llama-3-8B-Instruct,rajatkrishna/Meta-Llama-3-8B-Instruct-OpenVINO-INT4,finetuned
defog/sqlcoder,TheBloke/sqlcoder-GGUF,quantized
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,MaziyarPanahi/zephyr-orpo-141b-A35b-v0.1-GGUF,quantized
huihui-ai/Llama-3.2-1B-Instruct-abliterated,Novaciano/SEX_ROLEPLAY-3.2-1B,merged
huihui-ai/Llama-3.2-1B-Instruct-abliterated,Novaciano/SEX_ROLEPLAY-3.2-1B-Q4_K_M-GGUF,merged
soob3123/GrayLine-Gemma3-12B,mradermacher/GrayLine-Gemma3-12B-i1-GGUF,quantized
Trendyol/Trendyol-LLM-7b-base-v1.0,Trendyol/Trendyol-LLM-7b-chat-v1.0,finetuned
01-ai/Yi-1.5-34B-32K,OpenBuddy/openbuddy-yi1.5-34b-v21.3-32k,finetuned
TejAndrewsACC/FiPhi-NeuralMark-V3,TejAndrewsACC/FiPhi-NeuralMark-V3,finetuned
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct-AWQ,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-Coder-3B-Instruct-bnb-4bit,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-Coder-3B-Instruct,finetuned
Qwen/Qwen2.5-Coder-3B-Instruct,mlx-community/Qwen2.5-Coder-3B-Instruct-4bit,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,bartowski/Qwen2.5-Coder-3B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,gaianet/Qwen2.5-Coder-3B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,second-state/Qwen2.5-Coder-3B-Instruct-GGUF,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct-GPTQ-Int4,quantized
Qwen/Qwen2.5-Coder-3B-Instruct,Bojun-Feng/Qwen2.5-Coder-3B-Instruct-GGUF-llamafile,finetuned
aaditya/Llama3-OpenBioLLM-8B,abhinand/Llama-3-Galen-8B-32k-v1,finetuned
allenai/OLMo-2-1124-13B-Instruct,bartowski/OLMo-2-1124-13B-Instruct-GGUF,quantized
Dorian2B/Vera-v1.5-Instruct-2B,Dorian2B/Vera-v1.5-Instruct-2B-GGUF,quantized
Sao10K/L3-8B-Stheno-v3.1,QuantFactory/L3-8B-Stheno-v3.1-GGUF,quantized
tensoropera/Fox-1-1.6B,tensoropera/Fox-1-1.6B-Instruct-v0.1,finetuned
alamios/Mistral-Small-3.1-DRAFT-0.5B,bartowski/alamios_Mistral-Small-3.1-DRAFT-0.5B-GGUF,quantized
tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,finetuned
DavidAU/MN-GRAND-Gutenberg-Lyra4-Lyra-23.5B,DavidAU/MN-GRAND-Gutenberg-Lyra4-Lyra-23.5B-GGUF,quantized
prithivMLmods/Llama-Song-Stream-3B-Instruct,bartowski/Llama-Song-Stream-3B-Instruct-GGUF,quantized
NousResearch/DeepHermes-3-Mistral-24B-Preview,bartowski/NousResearch_DeepHermes-3-Mistral-24B-Preview-GGUF,quantized
PocketDoc/Dans-SakuraKaze-V1.0.0-12b,bartowski/PocketDoc_Dans-SakuraKaze-V1.0.0-12b-GGUF,quantized
lmms-lab/llava-onevision-qwen2-7b-si,lmms-lab/LLaVA-Video-7B-Qwen2-Video-Only,finetuned
AdaptLLM/law-chat,TheBloke/law-chat-GGUF,quantized
ClosedCharacter/Peach-9B-8k-Roleplay,bartowski/Peach-9B-8k-Roleplay-GGUF,quantized
VAGOsolutions/SauerkrautLM-7b-v1,TheBloke/SauerkrautLM-7B-v1-GPTQ,quantized
VAGOsolutions/SauerkrautLM-7b-v1,TheBloke/SauerkrautLM-7B-v1-GGUF,quantized
DavidAU/M-Metaphors-Of-Madness-19.4B,DavidAU/M-Metaphors-Of-Madness-19.4B-GGUF,quantized
prithivMLmods/Blitzar-Coder-4B-F.1,prithivMLmods/Blitzar-Coder-4B-F.1-GGUF,quantized
MaziyarPanahi/calme-3.2-instruct-78b,bartowski/calme-3.2-instruct-78b-GGUF,quantized
unsloth/gemma-2-2b-it,mjm4dl/data_caption_price128_e2_cosine_sched,finetuned
diabolic6045/open-llama-3.2-1B-Instruct,Novaciano/SEX_ROLEPLAY-3.2-1B,merged
diabolic6045/open-llama-3.2-1B-Instruct,Novaciano/SEX_ROLEPLAY-3.2-1B-Q4_K_M-GGUF,merged
unsloth/Mistral-Nemo-Instruct-2407,omsh97/Industry_Project_v2_b,finetuned
Qwen/Qwen2-1.5B,legraphista/Qwen2-1.5B-IMat-GGUF,quantized
winninghealth/WiNGPT2-Llama-3-8B-Base,shanchen/llama3-8B-slerp-med-chinese,merged
tsilva/clinical-field-mapper-causal_lm,mradermacher/clinical-field-mapper-causal_lm-i1-GGUF,quantized
NousResearch/Meta-Llama-3-8B-Instruct,bartowski/Llama-3-8B-Instruct-Coder-v2-GGUF,quantized
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,finetuned
haqishen/Llama-3-8B-Japanese-Instruct,second-state/Llama-3-8B-Japanese-Instruct-GGUF,quantized
Sao10K/MN-12B-Lyra-v4,bartowski/MN-12B-Lyra-v4-GGUF,quantized
Sao10K/MN-12B-Lyra-v4,FallenMerick/MN-Violet-Lotus-12B,merged
mistralai/Ministral-8B-Instruct-2410,bartowski/Ministral-8B-Instruct-2410-GGUF,quantized
mistralai/Ministral-8B-Instruct-2410,lefantom00/Ministral-8B-it-2410-iSMART,quantized
gorilla-llm/gorilla-openfunctions-v2,CISCai/gorilla-openfunctions-v2-SOTA-GGUF,quantized
LLM360/K2,legraphista/K2-IMat-GGUF,quantized
tiiuae/Falcon3-3B-Instruct,tiiuae/Falcon3-3B-Instruct,finetuned
tiiuae/Falcon3-3B-Instruct,bartowski/Falcon3-3B-Instruct-GGUF,quantized
ibm-granite/granite-3.1-2b-instruct,RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,quantized
01-ai/Yi-1.5-9B-Chat-16K,byroneverson/Yi-1.5-9B-Chat-16K-abliterated,finetuned
01-ai/Yi-1.5-9B-Chat-16K,GPT4All-Community/Yi-1.5-9B-Chat-16K-GGUF,quantized
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,finetuned
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct-1M,finetuned
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B,finetuned
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-7B,finetuned
Qwen/Qwen2.5-7B,CalamitousFelicitousness/Qwen2.5-7B-Instruct-fp8-dynamic,quantized
Qwen/Qwen2.5-7B,mlx-community/Qwen2.5-7B-Instruct-4bit,finetuned
Qwen/Qwen2.5-7B,Mungert/Qwen2.5-7B-Instruct-1M-GGUF,quantized
Qwen/Qwen2.5-7B,QuantFactory/Josiefied-Qwen2.5-7B-Instruct-abliterated-GGUF,quantized
Qwen/Qwen2.5-7B,MasterControlAIML/Qwen2.5-7B-Instruct-131K,finetuned
Qwen/Qwen2.5-7B,sail/Sailor2-8B,finetuned
Qwen/Qwen2.5-7B,INTERX/Qwen2.5-GenX-7B,finetuned
Qwen/Qwen2.5-7B,RedHatAI/Qwen2.5-7B-quantized.w8a8,quantized
Qwen/Qwen2.5-7B,Mungert/Qwen2.5-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-7B,QuantFactory/Qwen2.5-Math-7B-GGUF,quantized
Qwen/Qwen2.5-7B,QuantFactory/Qwen2.5-7B-Instruct-GGUF,quantized
Qwen/Qwen2.5-7B,QuantFactory/Qwen2.5-Coder-7B-GGUF,quantized
instruction-pretrain/finance-Llama3-8B,QuantFactory/finance-Llama3-8B-GGUF,quantized
OpenLLM-France/Lucie-7B,OpenLLM-France/Lucie-7B-Instruct-v1.1,finetuned
Qwen/Qwen2-Math-7B-Instruct,legraphista/Qwen2-Math-7B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2-Math-7B-Instruct,second-state/Qwen2-Math-7B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-7B-Instruct,bartowski/Qwen2-Math-7B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-7B-Instruct,lmstudio-community/Qwen2-Math-7B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-72B-Instruct,legraphista/Qwen2-Math-72B-Instruct-IMat-GGUF,quantized
Qwen/Qwen2-Math-72B-Instruct,bartowski/Qwen2-Math-72B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-72B-Instruct,second-state/Qwen2-Math-72B-Instruct-GGUF,quantized
Qwen/Qwen2-Math-72B-Instruct,lmstudio-community/Qwen2-Math-72B-Instruct-GGUF,quantized
sail/Sailor-1.8B,sail/Sailor-1.8B-Chat,finetuned
SnakyMcSnekFace/Psyfighter2-13B-vore,SnakyMcSnekFace/Psyfighter2-13B-vore-GGUF,quantized
stabilityai/stablelm-2-1_6b,afrideva/stablelm-2-1_6b-GGUF,quantized
mistral-community/Mixtral-8x22B-v0.1,cognitivecomputations/dolphin-2.9.1-mixtral-1x22b,finetuned
mistral-community/Mixtral-8x22B-v0.1,cognitivecomputations/dolphin-2.9.2-mixtral-8x22b,finetuned
NousResearch/Meta-Llama-3.1-8B-Instruct,Saxo/Linkbricks-Horizon-AI-Korean-llama3.1-sft-rlhf-dpo-8B,quantized
unsloth/llama-3-8b-bnb-4bit,notlober/llama3-8b-tr,finetuned
unsloth/llama-3-8b-bnb-4bit,umarigan/LLama-3-8B-Instruction-tr,finetuned
unsloth/llama-3-8b-bnb-4bit,pinkyprakash/Phi-3-mini-4k-instruct-merged,finetuned
huihui-ai/Qwen2.5-Coder-14B-Instruct-abliterated,bartowski/Qwen2.5-Coder-14B-Instruct-abliterated-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,unsloth/DeepSeek-R1-Distill-Qwen-14B-unsloth-bnb-4bit,quantized
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,sometimesanotion/Lamarck-14B-v0.7,merged
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,agentica-org/DeepCoder-14B-Preview,finetuned
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,unsloth/DeepSeek-R1-Distill-Qwen-14B-bnb-4bit,quantized
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,PKU-DS-LAB/FairyR1-14B-Preview,finetuned
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,unsloth/DeepSeek-R1-Distill-Qwen-14B,finetuned
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Mungert/DeepCoder-14B-Preview-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,boatbomber/R1-Distill-Qwen-14B-Roblox-Luau,quantized
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,YOYO-AI/ZYH-LLM-Qwen2.5-14B-V4,merged
AI-Sweden-Models/gpt-sw3-356m,AI-Sweden-Models/gpt-sw3-356m-instruct,finetuned
PJMixers-Dev/Granite-3.1-Earthen-v0.3-3B-A800M,PJMixers-Dev/Granite-3.1-Earthen-v0.3-3B-A800M-GGUF,quantized
prithivMLmods/Llama-3.1-8B-Open-SFT,bartowski/Llama-3.1-8B-Open-SFT-GGUF,quantized
Qwen/Qwen1.5-1.8B-Chat,second-state/Qwen1.5-1.8B-Chat-GGUF,quantized
Hastagaras/Anjir-8B-L3,DavidAU/L3.1-MOE-6X8B-Dark-Reasoning-Dantes-Peak-Hermes-R1-Uncensored-36B,merged
suayptalha/FastLlama-3.2-1B-Instruct,bartowski/FastLlama-3.2-1B-Instruct-GGUF,adapter
NousResearch/DeepHermes-3-Llama-3-3B-Preview,bartowski/NousResearch_DeepHermes-3-Llama-3-3B-Preview-GGUF,quantized
malhajar/Mistral-7B-Instruct-v0.2-turkish,sayhan/Mistral-7B-Instruct-v0.2-turkish-GGUF,quantized
Voicelab/trurl-2-7b,TheBloke/Trurl-2-7B-GGUF,quantized
uukuguy/speechless-mistral-dolphin-orca-platypus-samantha-7b,TheBloke/speechless-mistral-dolphin-orca-platypus-samantha-7B-GGUF,quantized
argilla/notus-7b-v1,TheBloke/notus-7B-v1-GGUF,quantized
sail/Sailor2-14B,sail/Sailor2-14B-Chat,finetuned
unsloth/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit,rita1706/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit-finetuned,finetuned
ibm-granite/granite-embedding-278m-multilingual,bartowski/granite-embedding-278m-multilingual-GGUF,quantized
ibm-granite/granite-embedding-278m-multilingual,lmstudio-community/granite-embedding-278m-multilingual-GGUF,quantized
pfnet/plamo-2-8b,mlx-community/plamo-2-translate,quantized
inceptionai/jais-family-30b-16k,inceptionai/jais-family-30b-16k-chat,finetuned
ddobokki/Llama-2-70b-orca-200k,TheBloke/Llama-2-70B-Orca-200k-GGUF,quantized
chihoonlee10/T3Q-ko-solar-dpo-v3.0,chlee10/T3Q-ko-solar-sft-v3.0,finetuned
meta-llama/Llama-2-7b,epfl-llm/meditron-7b,finetuned
meta-llama/Llama-2-7b,inceptionai/jais-adapted-7b,finetuned
DavidAU/DeepSeek-R1-Distill-Llama-3.1-16.5B-Brainstorm,DavidAU/DeepSeek-R1-Distill-Llama-3.1-16.5B-Brainstorm-gguf,merged
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,finetuned
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,finetuned
mistralai/Mistral-7B-v0.1,NousResearch/Nous-Hermes-2-Mistral-7B-DPO,finetuned
mistralai/Mistral-7B-v0.1,Intel/neural-chat-7b-v3-1,finetuned
mistralai/Mistral-7B-v0.1,NousResearch/Hermes-2-Pro-Mistral-7B,finetuned
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-alpha,finetuned
mistralai/Mistral-7B-v0.1,kaist-ai/mistral-orpo-capybara-7k,finetuned
mistralai/Mistral-7B-v0.1,cognitivecomputations/dolphin-2.2.1-mistral-7b,finetuned
mistralai/Mistral-7B-v0.1,Trendyol/Trendyol-LLM-7b-base-v1.0,finetuned
mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2-Mistral-7B,finetuned
mistralai/Mistral-7B-v0.1,NovusResearch/Thestral-0.1-tr-chat-7B,finetuned
mistralai/Mistral-7B-v0.1,HuggingFaceH4/mistral-7b-sft-beta,finetuned
mistralai/Mistral-7B-v0.1,castorini/rank_zephyr_7b_v1_full,finetuned
mistralai/Mistral-7B-v0.1,NousResearch/Genstruct-7B,finetuned
mistralai/Mistral-7B-v0.1,Rakuten/RakutenAI-7B,finetuned
mistralai/Mistral-7B-v0.1,billborkowski/llava-NousResearch_Nous-Hermes-2-Vision-GGUF,quantized
mistralai/Mistral-7B-v0.1,INSAIT-Institute/BgGPT-7B-Instruct-v0.2,finetuned
mistralai/Mistral-7B-v0.1,ArmurAI/Pentest_AI,finetuned
mistralai/Mistral-7B-v0.1,bartowski/Hermes-2-Pro-Mistral-7B-GGUF,quantized
mistralai/Mistral-7B-v0.1,bartowski/mistral-orpo-capybara-7k-GGUF,quantized
mistralai/Mistral-7B-v0.1,instructlab/merlinite-7b-lab,finetuned
google/gemma-3-12b-it,soob3123/amoral-gemma3-12B-v2,finetuned
google/gemma-3-12b-it,soob3123/amoral-gemma3-12B-v1,finetuned
google/gemma-3-12b-it,soob3123/Veiled-Calla-12B,finetuned
google/gemma-3-12b-it,kika2000/gemma-3-12b-it-unsloth-bnb-4bit,quantized
google/gemma-3-12b-it,eaddario/gemma-3-12b-it-pruned-GGUF,quantized
THUDM/GLM-4-32B-0414,bartowski/THUDM_GLM-4-32B-0414-GGUF,quantized
THUDM/GLM-4-32B-0414,unsloth/GLM-4-32B-0414-GGUF,quantized
THUDM/GLM-4-32B-0414,mlx-community/GLM-4-32B-0414-8bit,quantized
THUDM/GLM-4-32B-0414,mlx-community/GLM-4-32B-0414-4bit,quantized
THUDM/GLM-4-32B-0414,mlx-community/GLM-4-32B-0414-4bit-DWQ,quantized
THUDM/GLM-4-32B-0414,lmstudio-community/GLM-4-32B-0414-GGUF,quantized
THUDM/GLM-4-32B-0414,unsloth/GLM-4-32B-0414-unsloth-bnb-4bit,quantized
THUDM/GLM-4-32B-0414,allura-org/GLM4-32B-Neon-v2,finetuned
THUDM/GLM-4-32B-0414,unsloth/GLM-4-32B-0414-bnb-4bit,quantized
google/gemma-3-4b-it,DavidAU/Gemma-3-Nine-Rings-of-Power-Fiction-Horror-4b-it-GGUF,quantized
google/gemma-3-4b-it,soob3123/amoral-gemma3-4B-v1,quantized
google/gemma-3-4b-it,soob3123/amoral-gemma3-4B-v2,finetuned
google/gemma-3-4b-it,DataPilot/ArrowMint-Gemma3-4B-YUKI-v0.1,finetuned
KingNish/Reasoning-0.5b,bartowski/Reasoning-0.5b-GGUF,quantized
DavidAU/L3.2-Rogue-Creative-Instruct-7B,DavidAU/L3.2-Rogue-Creative-Instruct-7B-GGUF,quantized
drwlf/medgemma-4b-it-abliterated,mradermacher/medgemma-4b-it-abliterated-i1-GGUF,adapter
Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,finetuned
Qwen/Qwen2-7B,Efficient-Large-Model/Qwen2-VL-7B-Instruct,finetuned
Qwen/Qwen2-7B,Weyaxi/Einstein-v7-Qwen2-7B,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.2-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.3-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.5-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.1-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.7-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.6-qwen2-7b,finetuned
Qwen/Qwen2-7B,MaziyarPanahi/calme-2.4-qwen2-7b,finetuned
Qwen/Qwen2-7B,macadeliccc/Samantha-Qwen-2-7B,finetuned
Qwen/Qwen2-7B,legraphista/Qwen2-7B-IMat-GGUF,quantized
Qwen/Qwen2-7B,fedric95/Qwen2-7B-GGUF,quantized
Qwen/Qwen2-7B,NikolayKozloff/Qwen2-7B-Q4_K_M-GGUF,quantized
Qwen/Qwen2-7B,bartowski/Einstein-v7-Qwen2-7B-GGUF,quantized
DavidAU/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B,DavidAU/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B-GGUF,quantized
unsloth/Llama-3.2-3B-Instruct,nqdhocai/LogicLlama-3.2-3B-v1,finetuned
unsloth/Llama-3.2-3B-Instruct,theprint/ReWiz-Llama-3.2-3B,quantized
unsloth/Llama-3.2-3B-Instruct,seedgularity/NazareAI-Senior-Marketing-Strategist,quantized
mistralai/Mixtral-8x22B-Instruct-v0.1,MaziyarPanahi/Mixtral-8x22B-Instruct-v0.1-GGUF,quantized
prithivMLmods/QwQ-LCoT-7B-Instruct,bartowski/QwQ-LCoT-7B-Instruct-GGUF,quantized
Akhil-Theerthala/Kuvera-8B-v0.1.0,bartowski/Akhil-Theerthala_Kuvera-8B-v0.1.0-GGUF,quantized
fblgit/miniclaus-qw1.5B-UNAMGS,bartowski/miniclaus-qw1.5B-UNAMGS-GGUF,quantized
sail/Sailor2-20B,sail/Sailor2-14B,finetuned
sail/Sailor2-20B,sail/Sailor2-20B-Chat,finetuned
Gryphe/Pantheon-RP-1.6.2-22b-Small,bartowski/Pantheon-RP-1.6.2-22b-Small-GGUF,quantized
karakuri-ai/karakuri-lm-70b-v0.1,karakuri-ai/karakuri-lm-70b-chat-v0.1,finetuned
Azure99/blossom-v5.1-34b,CombinHorizon/YiSM-blossom5.1-34B-SLERP,merged
SRDdev/ScriptForge-small,mradermacher/ScriptForge-small-i1-GGUF,quantized
XGenerationLab/XiYanSQL-QwenCoder-3B-2502,XGenerationLab/XiYanSQL-QwenCoder-3B-2504,finetuned
prithivMLmods/Qwen3-4B-ft-bf16,prithivMLmods/Bootes-Qwen3_Coder-Reasoning,finetuned
DavidAU/L3-DARKEST-PLANET-16.5B,DavidAU/L3-DARKEST-PLANET-16.5B-GGUF,quantized
huihui-ai/Qwen3-14B-abliterated,Misaka27260/Qwen3-14B-abliterated-GGUF,quantized
huihui-ai/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2,Melvin56/DeepSeek-R1-Distill-Qwen-7B-abliterated-v2-GGUF,quantized
mymaia/Magiq-Translator-0,mradermacher/Magiq-Translator-0-i1-GGUF,quantized
NaniDAO/Llama-3.3-70B-Instruct-ablated,bartowski/Llama-3.3-70B-Instruct-ablated-GGUF,quantized
instruction-pretrain/instruction-synthesizer,QuantFactory/instruction-synthesizer-GGUF,quantized
phanerozoic/Tiny-Pirate-1.1b-v0.1,s3nh/TinyLLama-4x1.1B-MoE,merged
trashpanda-org/Llama-3.3-70B-Aster-v0-stage3,trashpanda-org/Llama-3.3-70B-Aster-v0,finetuned
qingy2024/UwU-14B-Math-v0.2,bartowski/QwQ-Unofficial-14B-Math-v0.2-GGUF,quantized
HuggingFaceTB/SmolLM-360M-Instruct,unsloth/SmolLM-360M-Instruct,finetuned
HuggingFaceTB/SmolLM-360M-Instruct,unsloth/SmolLM-360M-Instruct-bnb-4bit,quantized
yukiarimo/yuna-ai-v4-full,mradermacher/yuna-ai-v4-full-i1-GGUF,quantized
unsloth/tinyllama-chat-bnb-4bit,Ramikan-BR/tinyllama-coder-py-v11,quantized
unsloth/tinyllama-chat-bnb-4bit,Ramikan-BR/tinyllama-coder-py-4bit-v10,adapter
alpindale/goliath-120b,TheBloke/goliath-120b-GGUF,quantized
mistralai/Mistral-Large-Instruct-2407,bartowski/Mistral-Large-Instruct-2407-GGUF,quantized
mistralai/Mistral-Large-Instruct-2407,second-state/Mistral-Large-Instruct-2407-GGUF,quantized
mistralai/Mistral-Large-Instruct-2407,legraphista/Mistral-Large-Instruct-2407-IMat-GGUF,quantized
mistralai/Mistral-Large-Instruct-2407,lmstudio-community/Mistral-Large-Instruct-2407-GGUF,quantized
PocketDoc/Dans-PersonalityEngine-V1.1.0-12b,bartowski/Dans-PersonalityEngine-V1.1.0-12b-GGUF,quantized
PocketDoc/Dans-PersonalityEngine-V1.1.0-12b,yamatazen/Aurora-SCE-12B,merged
CohereLabs/aya-23-8B,lmstudio-community/aya-23-8B-GGUF,quantized
CohereLabs/aya-23-8B,legraphista/aya-23-8B-IMat-GGUF,quantized
CohereLabs/aya-23-8B,bartowski/aya-23-8B-GGUF,quantized
abhinand/malayalam-llama-pt-v0,abhinand/malayalam-llama-7b-instruct-v0.1,finetuned
DavidAU/L3-Dark-Planet-8B-V2-Eight-Orbs-Of-Power,DavidAU/L3-Dark-Planet-8B-V2-Eight-Orbs-Of-Power-GGUF,quantized
SanjiWatsuki/Kunoichi-DPO-v2-7B,brittlewis12/Kunoichi-DPO-v2-7B-GGUF,quantized
KingNish/Reasoning-Llama-1b-v0.1,bartowski/Reasoning-Llama-1b-v0.1-GGUF,quantized
Qwen/Qwen3-0.6B,unsloth/Qwen3-0.6B-unsloth-bnb-4bit,quantized
Qwen/Qwen3-0.6B,unsloth/Qwen3-0.6B-GGUF,quantized
Qwen/Qwen3-0.6B,second-state/Qwen3-0.6B-GGUF,quantized
Qwen/Qwen3-0.6B,dnotitia/Smoothie-Qwen3-0.6B,finetuned
Qwen/Qwen3-0.6B,suayptalha/Qwen3-0.6B-Medical-Expert,finetuned
Qwen/Qwen3-0.6B,gaianet/Qwen3-0.6B-GGUF,quantized
Qwen/Qwen3-0.6B,prithivMLmods/Qwen3-0.6B-GGUF,quantized
Qwen/Qwen3-0.6B,suayptalha/Arcana-Qwen3-2.4B-A0.6B,finetuned
Sao10K/L3.3-70B-Euryale-v2.3,sophosympatheia/Nova-Tempus-70B-v0.1,merged
allenai/Llama-3.1-Tulu-3-70B-SFT,allenai/Llama-3.1-Tulu-3-70B-DPO,finetuned
Daemontatox/Llama3.3-70B-CogniLink,mradermacher/Llama3.3-70B-CogniLink-i1-GGUF,quantized
ReadyArt/Amoral-Fallen-Omega-Gemma3-12B,bartowski/ReadyArt_Amoral-Fallen-Omega-Gemma3-12B-GGUF,quantized
google/gemma-2-2b,unsloth/gemma-2-2b-bnb-4bit,quantized
google/gemma-2-2b,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,finetuned
google/gemma-2-2b,cjvt/GaMS-2B,finetuned
google/gemma-2-2b,rinna/gemma-2-baku-2b,finetuned
google/gemma-2-2b,sartifyllc/pawa-min-alpha,finetuned
Sharathhebbar24/chat_gpt2_dpo,tensorblock/chat_gpt2_dpo-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,unsloth/DeepSeek-R1-Distill-Llama-8B-unsloth-bnb-4bit,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,unsloth/DeepSeek-R1-Distill-Llama-8B-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,unsloth/DeepSeek-R1-Distill-Llama-8B,finetuned
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,unsloth/DeepSeek-R1-Distill-Llama-8B-bnb-4bit,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,UnfilteredAI/DAN-L3-R1-8B,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,UNIVA-Bllossom/DeepSeek-llama3.1-Bllossom-8B,finetuned
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DavidAU/DeepSeek-R1-Distill-Llama-3.1-16.5B-Brainstorm-gguf,merged
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,prithivMLmods/DeepSeek-R1-Llama-8B-F32-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,recursechat/DeepSeek-R1-Distill-Llama-8B-GGUF,quantized
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,stepenZEN/DeepSeek-R1-Distill-Llama-8B-Abliterated,finetuned
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,eaddario/DeepSeek-R1-Distill-Llama-8B-GGUF,quantized
Vikhrmodels/QVikhr-3-1.7B-Instruction-noreasoning,Vikhrmodels/QVikhr-3-1.7B-Instruction-noreasoning-MLX_8bit,quantized
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B-DPO,finetuned
TroyDoesAI/BlackSheep-24B,darkc0de/XortronCriminalComputingConfig,merged
ccibeekeoc42/Llama3.1-8b-instruct-SFT-2024-11-09,ccibeekeoc42/Llama-3.2-8B-Instruct-bnb-4bit_merged_16bit_finetune_2025-03-07,finetuned
flammenai/Mahou-1.5-mistral-nemo-12B,FallenMerick/MN-Violet-Lotus-12B,merged
lemon07r/Gemma-2-Ataraxy-v4c-9B,lemon07r/Gemma-2-Ataraxy-v4d-9B,merged
Tesslate/Tessa-Rust-T1-7B,bartowski/Tesslate_Tessa-Rust-T1-7B-GGUF,quantized
google/gemma-3-1b-pt,unsloth/gemma-3-1b-pt-unsloth-bnb-4bit,quantized
